Company,Name,Title,Office City,Office State/Prov,Office Country
Pembina Pipeline,Scott Burrows,CEO,Calgary,AB,CA
Permian Resources,James Walter,CEO,Midland,TX,US
Peyto Exploration & Development,Jean-Paul Lachance,CEO,Calgary,AB,CA
Phillips 66,Mark E. Lashier,CEO,Houston,TX,US
Plains All American Pipeline,Willie Chiang,CEO,Houston,TX,US
PrairieSky Royalty,Pamela Kazeil,CEO,Calgary,AB,CA
ProPetro Holding,Sam D. Sledge,CEO,Midland,TX,US
Range Resources,Dennis Degner,CEO,Fort Worth,TX,US
Riley Exploration Permian,Bobby D. Riley,CEO,Oklahoma City,OK,US
Ring Energy,Paul D. McKinney,CEO,Midland,TX,US
SM Energy,Herbert S. Vogel,CEO,Denver,CO,US
Schlumberger (SLB),Olivier Le Peuch,CEO,Houston,TX,US
Secure Energy Services,Rene Amirault,CEO,Calgary,AB,CA
Sitio Royalties,Chris L. Conoscenti,CEO,Denver,CO,US
Suncor Energy,Rich Kruger,CEO,Calgary,AB,CA
Sunoco LP,Joseph Kim,CEO,Dallas,TX,US
TC Energy,François Poirier,CEO,Calgary,AB,CA
Targa Resources,Matthew J. Meloy,CEO,Houston,TX,US
Texas Pacific Land,Tyler Glover,CEO,Dallas,TX,US
Tourmaline Oil,Michael Rose,CEO,Calgary,AB,CA
Valero Energy,R. Lane Riggs,CEO,San Antonio,TX,US
Vermilion Energy,Dion Hatcher,CEO,Calgary,AB,CA
Viper Energy,Travis D. Stice,CEO,Midland,TX,US
Vital Energy,Manuel Manny Zborowski,CEO,Tulsa,OK,US
Weatherford International,Girish K. Saligram,CEO,Houston,TX,US
Western Midstream Partners,Michael U. Utsler,CEO,The Woodlands,TX,US
Whitecap Resources,Grant Fagerheim,CEO,Calgary,AB,CA
Williams Companies,Chad J. Zamarin,CEO,Tulsa,OK,US
Williams Companies,John D. Porter,CFO,Tulsa,OK,US
