Company Name,Ticker,HQ City,HQ State/Prov,Country,Sector,Subsector,Public/Private,PE Backing,EBITDA ($M),EBITDA Year,Revenue ($M),Total Debt ($M),Market Cap ($M),Enterprise Value ($M),Credit Rating,Rating Agency
Peyto Exploration & Development,PEY,Calgary,AB,CA,upstream,natural_gas,public,,,,,,,,,
MEG Energy,MEG,Calgary,AB,CA,upstream,oil_sands,public,,,,,,,,,
NuVista Energy,NVA,Calgary,AB,CA,upstream,exploration_production,public,,,,,,,,,
Birchcliff Energy,BIR,Calgary,AB,CA,upstream,natural_gas,public,,,,,,,,,
Gibson Energy,GEI,Calgary,AB,CA,midstream,pipelines_midstream,public,,,,,,,,,
Secure Energy Services,SES,Calgary,AB,CA,oilfield_services,waste_management,public,,,,,,,,,
CrownRock,,Midland,TX,US,upstream,exploration_production,private,CrownQuest Operating / Linn Energy,,,,,,,,
Tallgrass Energy,,Lakewood,CO,US,midstream,pipelines_midstream,private,Blackstone Infrastructure Partners,,,,,,,,
Antero Resources,AR,Denver,CO,US,upstream,natural_gas,public,,,,,,,,,
Range Resources,RRC,Fort Worth,TX,US,upstream,natural_gas,public,,,,,,,,,
CNX Resources,CNX,Canonsburg,PA,US,upstream,natural_gas,public,,,,,,,,,
Halliburton,HAL,Houston,TX,US,oilfield_services,drilling_evaluation,public,,,,,,,,,
Schlumberger (SLB),SLB,Houston,TX,US,oilfield_services,drilling_evaluation,public,,,,,,,,,
Baker Hughes,BKR,Houston,TX,US,oilfield_services,drilling_evaluation,public,,,,,,,,,
NOV Inc.,NOV,Houston,TX,US,oilfield_services,drilling_equipment,public,,,,,,,,,
SM Energy,SM,Denver,CO,US,upstream,exploration_production,public,,,,,,,,,
Permian Resources,PR,Midland,TX,US,upstream,exploration_production,public,,,,,,,,,
Matador Resources,MTDR,Dallas,TX,US,upstream,exploration_production,public,,,,,,,,,
Chord Energy,CHRD,Houston,TX,US,upstream,exploration_production,public,,,,,,,,,
Civitas Resources,CIVI,Denver,CO,US,upstream,exploration_production,public,,,,,,,,,
Northern Oil and Gas,NOG,Wayzata,MN,US,upstream,nonop_production,public,,,,,,,,,
Texas Pacific Land,TPL,Dallas,TX,US,midstream,royalty_land,public,,,,,,,,,
Plains All American Pipeline,PAA,Houston,TX,US,midstream,pipelines_midstream,public,,,,,,,,,
Western Midstream Partners,WES,The Woodlands,TX,US,midstream,gathering_processing,public,,,,,,,,,
PBF Energy,PBF,Parsippany,NJ,US,downstream,refining_marketing,public,,,,,,,,,
Delek US Holdings,DK,Brentwood,TN,US,downstream,refining_marketing,public,,,,,,,,,
Par Pacific Holdings,PARR,Houston,TX,US,downstream,refining_marketing,public,,,,,,,,,
CVR Energy,CVI,Sugar Land,TX,US,downstream,refining_marketing,public,Icahn Enterprises (Carl Icahn),,,,,,,,
Sunoco LP,SUN,Dallas,TX,US,midstream,fuels_distribution,public,,,,,,,,,
Vital Energy,VTLE,Tulsa,OK,US,upstream,exploration_production,public,,,,,,,,,
Kosmos Energy,KOS,Dallas,TX,US,upstream,deepwater,public,,,,,,,,,
Liberty Energy,LBRT,Denver,CO,US,oilfield_services,frac_completions,public,,,,,,,,,
Weatherford International,WFRD,Houston,TX,US,oilfield_services,drilling_evaluation,public,,,,,,,,,
ChampionX,CHX,The Woodlands,TX,US,oilfield_services,production_chemicals,public,,,,,,,,,
Gulfport Energy,GPOR,Oklahoma City,OK,US,upstream,natural_gas,public,,,,,,,,,
Comstock Resources,CRK,Frisco,TX,US,upstream,natural_gas,public,,,,,,,,,
Sitio Royalties,STR,Denver,CO,US,midstream,royalty,public,,,,,,,,,
Viper Energy,VNOM,Midland,TX,US,midstream,royalty,public,,,,,,,,,
Kimbell Royalty Partners,KRP,Fort Worth,TX,US,midstream,royalty,public,,,,,,,,,
Granite Ridge Resources,GRNT,Dallas,TX,US,upstream,nonop_production,public,,,,,,,,,
ProPetro Holding,PUMP,Midland,TX,US,oilfield_services,frac_completions,public,,,,,,,,,
Berry Corporation,BRY,Dallas,TX,US,upstream,exploration_production,public,,,,,,,,,
Amplify Energy,AMPY,Houston,TX,US,upstream,exploration_production,public,,,,,,,,,
Riley Exploration Permian,REPX,Oklahoma City,OK,US,upstream,exploration_production,public,,,,,,,,,
Ring Energy,REI,Midland,TX,US,upstream,exploration_production,public,,,,,,,,,
NuStar Energy,NS,San Antonio,TX,US,midstream,pipelines_midstream,public,,,,,,,,,
